Task_ID,Department,Task_Type,Priority_Level,Estimated_Time_Minutes,Original_Employee_ID,Optimized_Employee_ID,Original_Predicted_Delay_Risk,Optimized_Predicted_Delay_Risk,Original_Estimated_Cost,Optimized_Estimated_Cost,Risk_Improvement,Cost_Change
TASK_620,IT,Data Entry,Critical,169,EMP_118,EMP_95,1.0,1.0,260.6317086897794,226.5542189854345,0.0,-34.077489704344885
TASK_319,IT,Data Entry,Medium,45,EMP_13,EMP_104,1.0,1.0,55.141497227356744,60.73777173913043,0.0,5.596274511773686
TASK_421,Finance,Validation,Medium,202,EMP_133,EMP_59,1.0,1.0,388.9777011494253,289.5230636604774,0.0,-99.45463748894787
TASK_452,IT,Review,High,68,EMP_98,EMP_53,1.0,1.0,120.40966867469878,87.61549132947977,0.0,-32.79417734521901
TASK_2098,IT,Review,Critical,100,EMP_59,EMP_104,1.0,1.0,143.32824933687002,134.9728260869565,0.0,-8.355423249913514
TASK_1080,Operations,Approval,Low,61,EMP_6,EMP_35,1.0,1.0,109.67113019169328,88.0211090326029,0.0,-21.650021159090386
TASK_1571,HR,Approval,High,67,EMP_101,EMP_53,1.0,1.0,107.80288998357963,86.3270282216933,0.0,-21.475861761886335
TASK_1118,Finance,Review,Medium,23,EMP_4,EMP_32,1.0,1.0,27.634076381365112,32.015437580437585,0.0,4.381361199072472
TASK_2132,IT,Validation,Critical,34,EMP_94,EMP_49,1.0,1.0,52.467008124337696,42.7577730496454,0.0,-9.709235074692295
TASK_1950,Operations,Approval,Low,121,EMP_35,EMP_62,1.0,0.9327567635409374,174.5992490646713,209.18233661075763,0.0672432364590626,34.58308754608632
TASK_1332,Operations,Validation,Critical,67,EMP_53,EMP_99,1.0,1.0,86.3270282216933,96.49629790069977,0.0,10.169269679006476
TASK_1016,Finance,Escalation,High,133,EMP_87,EMP_136,0.9871237589374531,0.9396018905014005,198.0435054347826,217.11459324155194,0.04752186843605255,19.071087806769356
TASK_645,Finance,Approval,Critical,63,EMP_96,EMP_53,1.0,1.0,121.36079584775086,81.17317579054743,0.0,-40.18762005720343
TASK_1936,Operations,Review,Critical,175,EMP_102,EMP_148,1.0,1.0,235.52453142227125,232.91496983408746,0.0,-2.6095615881837944
TASK_508,Finance,Data Entry,High,159,EMP_62,EMP_94,1.0,1.0,274.875962984384,245.36042034616747,0.0,-29.515542638216516
TASK_2116,IT,Review,Medium,171,EMP_143,EMP_102,1.0,1.0,300.22276454701694,230.14111356119076,0.0,-70.08165098582617
TASK_2092,IT,Approval,High,129,EMP_105,EMP_61,1.0,0.9350030395272532,288.6338733860892,188.53568429890848,0.06499696047274683,-100.09818908718071
TASK_1442,HR,Approval,Critical,187,EMP_140,EMP_12,1.0,0.9283370505808364,237.43731644849174,322.5659443099274,0.07166294941916362,85.12862786143563
TASK_1417,Operations,Approval,Critical,188,EMP_133,EMP_49,0.9925611589346528,0.9703242826893288,362.01885057471264,236.42533333333338,0.022236876245324,-125.59351724137926
TASK_646,Customer Service,Escalation,High,43,EMP_101,EMP_95,1.0,1.0,69.18692939244663,57.64397287795079,0.0,-11.542956514495842
